"","epoch","Middle layers","Number of nodes","Validation","Loss","Batch normalization"
"1",1,"1 layer","huge","Validation error",37.2139663696289,TRUE
"2",2,"1 layer","huge","Validation error",27.3203086853027,TRUE
"3",3,"1 layer","huge","Validation error",24.4227504730225,TRUE
"4",4,"1 layer","huge","Validation error",25.0708065032959,TRUE
"5",5,"1 layer","huge","Validation error",25.3595199584961,TRUE
"6",6,"1 layer","huge","Validation error",26.17502784729,TRUE
"7",7,"1 layer","huge","Validation error",26.4597244262695,TRUE
"8",8,"1 layer","huge","Validation error",26.559778213501,TRUE
"9",9,"1 layer","huge","Validation error",24.8371810913086,TRUE
"10",10,"1 layer","huge","Validation error",24.6011962890625,TRUE
"11",11,"1 layer","huge","Validation error",25.8300228118896,TRUE
"12",12,"1 layer","huge","Validation error",24.8536758422852,TRUE
"13",13,"1 layer","huge","Validation error",24.2268447875977,TRUE
"14",14,"1 layer","huge","Validation error",25.1453952789307,TRUE
"15",15,"1 layer","huge","Validation error",24.7929668426514,TRUE
"16",16,"1 layer","huge","Validation error",23.7703704833984,TRUE
"17",17,"1 layer","huge","Validation error",23.8598766326904,TRUE
"18",18,"1 layer","huge","Validation error",25.8350429534912,TRUE
"19",19,"1 layer","huge","Validation error",24.5553379058838,TRUE
"20",20,"1 layer","huge","Validation error",26.1794013977051,TRUE
"21",21,"1 layer","huge","Validation error",23.4244403839111,TRUE
"22",22,"1 layer","huge","Validation error",24.2384471893311,TRUE
"23",23,"1 layer","huge","Validation error",23.9432888031006,TRUE
"24",24,"1 layer","huge","Validation error",24.6168384552002,TRUE
"25",25,"1 layer","huge","Validation error",24.8163013458252,TRUE
"26",26,"1 layer","huge","Validation error",26.6203880310059,TRUE
"27",27,"1 layer","huge","Validation error",23.7927207946777,TRUE
"28",28,"1 layer","huge","Validation error",24.9754524230957,TRUE
"29",29,"1 layer","huge","Validation error",24.4326343536377,TRUE
"30",30,"1 layer","huge","Validation error",25.0917186737061,TRUE
"31",1,"1 layer","large","Validation error",36.5952262878418,TRUE
"32",2,"1 layer","large","Validation error",27.283863067627,TRUE
"33",3,"1 layer","large","Validation error",25.8000526428223,TRUE
"34",4,"1 layer","large","Validation error",24.7533302307129,TRUE
"35",5,"1 layer","large","Validation error",26.7456665039062,TRUE
"36",6,"1 layer","large","Validation error",26.843822479248,TRUE
"37",7,"1 layer","large","Validation error",24.2038154602051,TRUE
"38",8,"1 layer","large","Validation error",25.1325531005859,TRUE
"39",9,"1 layer","large","Validation error",26.2599048614502,TRUE
"40",10,"1 layer","large","Validation error",26.5733661651611,TRUE
"41",11,"1 layer","large","Validation error",23.9308319091797,TRUE
"42",12,"1 layer","large","Validation error",24.336389541626,TRUE
"43",13,"1 layer","large","Validation error",24.8203525543213,TRUE
"44",14,"1 layer","large","Validation error",26.838399887085,TRUE
"45",15,"1 layer","large","Validation error",25.9280033111572,TRUE
"46",16,"1 layer","large","Validation error",25.3923568725586,TRUE
"47",17,"1 layer","large","Validation error",24.1538372039795,TRUE
"48",18,"1 layer","large","Validation error",25.8698139190674,TRUE
"49",19,"1 layer","large","Validation error",24.5882244110107,TRUE
"50",20,"1 layer","large","Validation error",25.4694786071777,TRUE
"51",21,"1 layer","large","Validation error",24.4306583404541,TRUE
"52",22,"1 layer","large","Validation error",25.9341888427734,TRUE
"53",23,"1 layer","large","Validation error",25.3731155395508,TRUE
"54",24,"1 layer","large","Validation error",24.6906814575195,TRUE
"55",25,"1 layer","large","Validation error",25.1175155639648,TRUE
"56",26,"1 layer","large","Validation error",25.3357315063477,TRUE
"57",27,"1 layer","large","Validation error",24.8017044067383,TRUE
"58",28,"1 layer","large","Validation error",23.8767356872559,TRUE
"59",29,"1 layer","large","Validation error",26.4545822143555,TRUE
"60",30,"1 layer","large","Validation error",24.3339538574219,TRUE
